"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
306,18,7966.5,2866.8,145,249.1,28,8,37.1
307,18,9269.5,8176.4,258.5,475.5,27,8.5,59.6
308,18,9593.3,1985.1,126,279.9,31.9,8.1,27
309,18,9735.8,5233.7,155.1,148,28.5,8.1,67.5
310,18,13611.1,8464.3,162.8,307.9,27.7,6.5,32
311,18,13907,2983.6,167.7,488.8,28.5,9.1,28.9
312,18,16268,7521.3,152.2,884.6,33.8,8.3,14.3
313,18,21088.8,4023.7,154.8,153.5,26.9,6.5,54.4
314,18,21703.8,10575.3,155.7,801.8,30.9,7.4,14.9
315,18,23570.7,10183.7,126.1,154,27.6,6.9,40.6
316,18,25273.8,4874.9,279.5,369.5,24,6.7,71.1
317,18,28127.1,11700.8,165.6,173.3,25.6,7,58.1
318,18,30822,12340.3,175,194.4,27.1,5.2,45.7
319,19,1526.1,2262.2,156.7,262,27.6,6.6,34.9
320,19,2009.2,3852.5,166.1,611.2,33.7,9.3,23.9
321,19,5334.4,1761.8,116.3,227.7,32.4,6.8,25.1
322,19,6460,4061.8,111.2,468.3,11.6,6.4,13
323,19,6311.1,4151,319.8,831,11.6,6.4,41.5
324,19,7521.5,9005.3,116.3,122.7,27.7,6.4,41
325,19,7994.9,2916.2,160.3,175.7,26.5,6.1,48.8
326,19,9267.2,7952.2,103.4,151.1,31.4,6.8,29.9
327,19,9626.7,2008.2,157.7,428.1,30.2,7.2,24.7
328,19,9809.3,5197,174.4,217.8,29.2,7.6,55
329,19,13610.7,8371.3,115.2,168.2,30.6,6.8,32.1
330,19,13903.1,3236,153.9,547.7,30.5,6.7,18.7
331,19,16281.2,7526.3,166.2,1063.4,30.5,9,14.8
332,19,19796.4,7942.4,120.1,121.4,28.5,7.3,48.3
333,19,21299.8,3855.5,100,87.3,28.8,7.3,48.3
334,19,21599.4,10553,147,671,28.1,7.2,15.6
335,19,21755.3,11609.1,111.3,101.5,31.1,7,48.2
336,19,23668.2,10139.4,149.6,143.2,28,6.2,52.5
337,19,25280.5,4883,136.3,160.5,27.8,7.1,45.4
338,20,1571.7,2265.8,134.3,216.8,31.8,6.5,31.9
339,20,1999.1,3861.5,169.7,557.7,31.2,8.6,25.2
340,20,6404.3,4084.2,152.2,896.4,31,8.1,13.9
341,20,7550.1,8946.3,191.7,268.1,30.7,7,50.2
342,20,7965.5,3013.7,170.5,222.2,26.6,7.1,49.4
343,20,9158,7821.4,148.1,199.3,30.8,7.4,44.2
344,20,9618.8,1998.2,147,470.9,31.9,8.3,22.6
345,20,9868,5214.1,178.5,197.7,28.2,8.3,68
346,20,13809.2,8539.2,99.5,126.5,14.2,5.2,27.6
347,20,13617.7,8215.4,34.4,73,14.2,5.2,13.3
348,20,14070.3,3358.5,140.4,434.6,30.8,7.1,20.3
349,20,16277.4,7535.4,143.2,1045.9,36.8,11.6,13.9
350,20,21599.9,10569.6,142.3,403,30,8.7,25.3
351,20,21746,11609.4,123.8,180.6,31.8,8,38.2
352,20,25103.4,4881.1,389.4,754.3,20.9,6.9,68.5
353,20,29805.6,11581.6,180.6,163,27.4,6.3,65
354,20,30709.3,12351.3,152.7,153.1,28.2,7.4,58.9
355,21,1665,2289.8,150,203.6,29,5.8,36.9
356,21,2000,3826.8,156.9,529.6,32,6.5,19.5
357,21,5439.7,1744.3,149.5,366.7,31.5,7.3,26.3
